Recipient,State,Municipality,Type,Address,School offering early childhood education,Cação or anjo?
ASSOCIAÇÃO DE MORADORES E AMIGOS DO ANAIA,Rio de Janeiro,São Gonçalo,School,"Estrada do Anaia,57",YES,cação
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE,Rio Grande do Sul,Taquari,Social Services,"Bairro Léo Alvim Faller – 2,59Km da Prefeitura",,anjo
ASSOCIAÇÃO DE PROJETO EDUCACIONAL P/ CRIANÇAS E ADOLESCENTES – AESCA PEDREIRA,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Rua da Pedreira, 1.087",,anjo
ASSOCIAÇÃO DE PROJETO EDUCACIONAL P/ CRIANÇAS E ADOLESCENTES – AESCA SANTUÁRIO,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Rua Cléber Natalino dos Santos, 84",,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – FILIAL 1,Rio Grande do Sul,Santa Cruz do Sul,Social Services,RSC 287 – Km 93,,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – FILIAL 2,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Rua Felipe Jacobus, 08",,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – MATRIZ,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Av. Orlando O. Baumhardt, 3.678",,anjo
ASSOCIAÇÃO EDUCACIONAL EDUCAR E BRINCAR,Rio Grande do Sul,Santa Cruz do Sul,School,"Av. Orlando O. Baumhardt, 1.390",YES,anjo
ASSOCIAÇÃO EDUCACIONAL PÃO DE MEL,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Boaventura Koelberg, 171 – Bairro Arroio Grande",YES,anjo
ASSOCIAÇÃO EDUCACIONAL PÃO DE MEL (VIVER BEM) – FILIAL 1,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Violeta, 145 – Bairro Dona Carlota",YES,anjo
ASSOCIAÇÃO EDUCACIONAL PROFISSIONALIZANTE ISIS,Rio de Janeiro,São Gonçalo,School,"R. Alameda Curitiba, Lt 13 e 14",,cação
ASSOCIAÇÃO EVANGELICA EDIFICANDO VIDAS,Rio de Janeiro,São Gonçalo,School,"R. ValdemiroAlcântara ,93",,cação
ASSOCIAÇÃO FRANCISCANA DA DIVINA PROVIDÊNCIA CRECHE MENINO JESUS,Rio de Janeiro,Duque de Caxias,Social Services,"Rua Bernardino Machado, 2031 Lafayete Duque de Caxias Rj Telefone: 27716398",YES,cação
ASSOCIAÇÃO OFICINA DE VIDA,Rio de Janeiro,São Gonçalo,School,"Rua Leoncio Correia, nº 2341",,cação
ASSOCIAÇÃO PAZ E AMOR,Rio de Janeiro,São Gonçalo,School,"Rua Cedigio Pereira Rocha, nº 114",,cação
ASSOCIAÇÃO PESTALOZZI DE DUQUE DE CAXIAS,Rio de Janeiro,Duque de Caxias,School,"R. Ari Barroso, 605 - Parque Boa Vista I, Duque de Caxias - RJ",,cação
ASSOCIAÇÃO RAÍZ DE DAVI,Rio de Janeiro,São Gonçalo,School,"R. João Capistrano de Abreu,1258",,cação
Associação Joinvilense para Integração dos Deficientes Visuais – AJIDEVI,Santa Catarina,Joinville,Social Services,"Rua Jornalista Hilário Muller, 276",,cação
ASSOSIAÇÃO EDUCA. ASSIS. CRECHE ESCOLA COMUNITÁRIA RENASCER,Rio de Janeiro,São Gonçalo,School,"R. das Esmeraldas, 749, lt 25 qd 141",YES,cação
AUGUSTO LONGONI,Rio Grande do Sul,Gravataí,School,"Rua Jardel Filho, nº 90 – Águas Claras",,anjo
ÁUREA CELI BARBOSA,Rio Grande do Sul,Gravataí,School,"Rua Marco Polo, nº 729 - Pda. 76 – Vila São Vicente",,anjo
AVELINO MARCANTE,Santa Catarina,Joinville,School,"R.:Guilherme Holz, 140",,cação
AVENTURAS DE CRIANÇA,Santa Catarina,Joinville,School,"R.: Pica Pau, 993",YES,cação
BALÃO MÁGICO,Rio Grande do Sul,Porto Alegre,School,"R. Rio Negro, 59 - Vila Bom Sucesso",YES,anjo
BALTAZAR BUSCHLE (PREF.),Santa Catarina,Joinville,School,"R.:Olga Trusz Sboinski, 62",,cação
BARÃO DO RIO BRANCO,Espírito Santo,Vila Velha,School,"Rua Sebastião, 100",,cação
BÁRBARA MAIX,Rio Grande do Sul,Gravataí,School,"Rua Santa Ana, nº 146 – Pda. 67 – Vila Branca",,anjo
BARNABÉ,Rio Grande do Sul,Gravataí,School,"Rua Coronel Sampaio, nº 614 - Parque dos Eucaliptos",,anjo
