Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
DIRETORA ZDMEA CAMARGO,Espírito Santo,Vila Velha,Escolas,Rua Adalgisa Barcelos de Almeida. CEP: 29.109-270,,cação
DIVISÃO DE ALMOXARIFADO CENTRAL,Rio de Janeiro,Niterói,Outros,"Rua General Castrioto , no 589, Barreto",,cação
DIVISÃO DE SUPRIMENTOS - SECRETARIA DA SAÚDE DO RIO GRANDE DO SUL,Rio Grande do Sul,Porto Alegre,Outros,"Av. Marechal Andréa, 351 - Boa Vista, Porto Alegre - RS",,anjo
DIVISÃO DE VIGILÂNCIA E ZELADORIA GAA,Rio de Janeiro,Rio de Janeiro,Outros,"Rua Voluntários da Pátria no 120, Botafogo, Rio de Janeiro/RJ",,cação
DOCE INFÂNCIA,Santa Catarina,Joinville,Escolas,"R.: Bom Retiro, 97",,cação
DOMINGOS GOUVÊA,Rio de Janeiro,Cabo Frio,Escolas,"Rua Henrique Terra, 154 - Portinho",,cação
DOMINGOS JOSÉ MARTINS,Espírito Santo,Vila Velha,Escolas,"Rua Capricórnio, 154",,cação
DOM JOÃO BATISTA DA MOTTA E ALBUQUERQUE,Espírito Santo,Vitória,Escolas,"Ladeira Anthero Braido, 110 Praia do Suá - 29052-220",,cação
DOM ORIONE,Rio Grande do Sul,Porto Alegre,Escolas,"R.Ursa Maior, 215",Sim,anjo
DO POMAR,Rio de Janeiro,Cabo Frio,Escolas,"Trav. Beija Flor, 05, casa 04 - Jacaré",,cação
DORIVAL CÂNDIDO LUZ DE OLIVEIRA,Rio Grande do Sul,Gravataí,Escolas,"Rua Vigário Luis Azevedo, nº 87 – Pda. 99 – Passo da Caveira",,anjo
DPTO. ADMINISTRATIVO E FINANCEIRO SECRETARIA MUNICIPAL DE EDUCAÇÃO,Rio Grande do Sul,Gravataí,Outros,N/A,,anjo
DR. DENIZART SANTOS,Espírito Santo,Vitória,Escolas,"Av. Jurema Barroso, 215 Ilha do Príncipe 29020-430",,cação
DR. TUFFY NADER,Espírito Santo,Vila Velha,Escolas,"Rua Antonio Fonseca, s/nº.",,cação
DUQUE DE CAXIAS,Rio Grande do Sul,Gravataí,Escolas,"Rua Dakar, nº 280 – RS 20/Pda. 80 – Itacolomi",,anjo
E.E. FRANCISCO DAMANTE,São Paulo,Bom Jesus dos Perdões,Escolas,"Rua São Geraldo, s/n – Centro",,cação
E.E.M. EULINA DE ASSIS MARQUES,Rio de Janeiro,Armação dos Búzios,Escolas,Av. Doze de Novembro,,cação
E.E. MANUEL FERRAZ,São Paulo,Bom Jesus dos Perdões,Escolas,"Rua Maria Cele Costa, s/n - Country Residencial Félix",,cação
E.E.MZ. JOSÉ BENTO RIBEIRO DANTAS,Rio de Janeiro,Armação dos Búzios,Escolas,Rua do Clube,,cação
E.E. ROSENDE,São Paulo,Bom Jesus dos Perdões,Escolas,"Rua Carmine Pugliesi, s/n - Jardim Portugal",,cação
E. M. 26 DE JANEIRO,Paraná,Fazenda Rio Grande,Escolas,"Av. Brasil, 2014",,cação
E.M. ADALBERTO PEREIRA PINTO,Rio de Janeiro,Mangaratiba,Escolas,Estrada Rio Santos – Km 58 – Itacurubitiba,,cação
E.M. AFONSO GUERREIRO LIMA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Guaíba, 203- Lomba do Pinheiro",,anjo
E.M. AGOSTINHO DA S. MATTOS,Rio de Janeiro,Mangaratiba,Escolas,"Praia da Catita, s/n – Ilha de Jaguanum",,cação
E.M. ÁGUAS LINDAS,Rio de Janeiro,Mangaratiba,Escolas,Praia de Águas Lindas – Ilha de Itacuruçá,,cação
E.M.ALBERTINA CAMPOS,Rio de Janeiro,São Gonçalo,Escolas,"RUA DOS ARCOS, 65",,cação
E.M.ALBERTO PASQUALINI,Rio de Janeiro,São Gonçalo,Escolas,"AV.EXP. BITTENCOURT RODRIGUES, S/Nº",,cação
E.M.ALBERTO TORRES,Rio de Janeiro,São Gonçalo,Escolas,"AV. MARICA, S/Nº",,cação
E. M. ALCIDES DE SOUZA,Rio de Janeiro,Valença,Escolas,"Fazenda São José, 2681, Passagem",,cação
E. M. ALCIDES MARIO PELANDA,Paraná,Fazenda Rio Grande,Escolas,"R: Pessegueiro, 197",,cação
E.M.ALFREDO DE FREITAS DIAS GOMES,Rio de Janeiro,São Gonçalo,Escolas,"ESTRADA DO ARRASTÃO, S/Nº",,cação
E.M.ALMIRANTE ALFREDO CARLOS SOARES DUTRA,Rio de Janeiro,São Gonçalo,Escolas,R. CAP. JUSTINIANO PEREIRA DE FARIA S/N,,cação
E.M. AMÉRICA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua B, 175 Vila Vargas Partenon",,anjo
E.M.ANAIA PEQUENO (ZEYR PORTO),Rio de Janeiro,São Gonçalo,Escolas,"ESTRADA DO ANAIA, 57",,cação
E.M.ANISIO SPINOLA TEIXEIRA,Rio de Janeiro,São Gonçalo,Escolas,"RUA: VISCONDE SEABRA, S/N",,cação
E. M. ANTONIO ALVES MOREIRA,Rio de Janeiro,Valença,Escolas,"Fazenda São José, s/nº, Quilombo, Santa Isabel",,cação
E. M. ANTONIO BALDAN,Paraná,Fazenda Rio Grande,Escolas,"R: Albatroz, 430",,cação
E.M.ANTONIO CARLOS JOBIM,Rio de Janeiro,São Gonçalo,Escolas,"ESTR. NAZÁRIO MACHADO, S/Nº",,cação
E.M. ANTONIO CONCEIÇÃO DA COSTA,Rio de Janeiro,Mangaratiba,Escolas,"Rua Cipriano da Silva Barros, s/nº – Fazenda Ingaíba",,cação
E.M. ANTÔNIO CORDEIRO PORTUGAL,Rio de Janeiro,Mangaratiba,Escolas,"Estrada São João Marcos, s/nº. – Serra do Piloto",,cação
E.M. ARAMY SILVA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Chico Pedro, 390 Camaquã",,anjo
E. M. ARNALDO BUSATO,Paraná,Fazenda Rio Grande,Escolas,"Av. Brasil, 1540",,cação
E. M. ASSOCIAÇÃO BALBINA FONSECA,Rio de Janeiro,Valença,Escolas,"Rua Dom André Arcoverde, 123, Centro",,cação
E.M.BEATRIZ ELIANE CORDEIRO SANTOS,Rio de Janeiro,São Gonçalo,Escolas,"ESTRADA DO COELHO, S/Nº",,cação
E.M.BELARMINO RICARDO SIQUEIRA,Rio de Janeiro,São Gonçalo,Escolas,"RUA EVARISTO DA VEIGA, S/Nº",,cação
E.M. CAETANO DE OLIVEIRA,Rio de Janeiro,Mangaratiba,Escolas,"Rua Cecília, 213 – Itacuruçá",,cação
E.M. CAMPOS DO CRISTAL,Rio Grande do Sul,Porto Alegre,Escolas,"Beco do Império, s/n - Vila Nova",,anjo
E.M. CANDIDO JORGE CAPIXABA - CIEP 294,Rio de Janeiro,Mangaratiba,Escolas,"Av. José Antonio da Costa, s/nº - Praia do Saco",,cação
E.M.CARLOS DRUMMOND DE ANDRADE,Rio de Janeiro,São Gonçalo,Escolas,"ESTRADA DA ITAOCA, S/Nº",,cação
E. M. CARLOS EDUARDO NICHELE,Paraná,Fazenda Rio Grande,Escolas,"R: Nossa Sra. do Rocio, 114",,cação
E.M. CEL. MOREIRA DA SILVA,Rio de Janeiro,Mangaratiba,Escolas,"Rua Nillo Peçanha, 162 – Mangaratiba.",,cação
E.M.CELIA PEREIRA DA ROSA,Rio de Janeiro,São Gonçalo,Escolas,"RUA ALTA ROSA, S/Nº",,cação
E.M. CHAPÉU DO SOL,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Juca Batista, s/n Restinga",,anjo
E.M. CHICO MENDES,Rio Grande do Sul,Porto Alegre,Escolas,"Rua das Seringueiras, s/nº",,anjo
E.M. CORDÉLIA JOSEPHINA DE M. PAHL,Rio de Janeiro,Mangaratiba,Escolas,"Estrada São João Marcos, s/nº - Benguela",,cação
E. M. CORONEL CARDOSO,Rio de Janeiro,Valença,Escolas,"Estrada Parapeúna – Santa Rita, Parapeúna",,cação
E.M.DARCY RIBEIRO,Rio de Janeiro,São Gonçalo,Escolas,"RUAITATUBA, 18",,cação
E. M. DAURA S. BARBOSA/E. M. ARLINDO DA S. NOGUEIRA,Rio de Janeiro,Valença,Escolas,"Estrada Valença x Rio das Flores, 2025, Biquinha",,cação
E.M. DÉCIO MARTINS COSTA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Cristóvão Jaques, 488 Sarandi",,anjo
E. M. DE EN. FUNDAMENTAL DEPUTADO LUIZ PINTO,Rio de Janeiro,Valença,Escolas,"Rua Benjamim Guimarães, 104, Centro",,cação
E. M. DEP. LUIZ GABRIEL SAMPAIO,Paraná,Fazenda Rio Grande,Escolas,"R: São Braz, 94",,cação
E.M. DEP. MARCÍRIO GOULART LOUREIRO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Saibreira, s/n - Vila N. São Miguel -Partenon",,anjo
E.M. DEP. VICTOR ISSLER,Rio Grande do Sul,Porto Alegre,Escolas,"Rua 19 de Fevereiro, 330 -Chácara da Fumaça",,anjo
E.M.DEPUTADO JOSE CARLOS BRANDAO MONTEIRO,Rio de Janeiro,São Gonçalo,Escolas,"RUA CARLOS WALTER HISSERICH,S/Nº",,cação
E. M. DEPUTADO LUIZ PINTO,Rio de Janeiro,Valença,Escolas,"Avenida Nilo Peçanha, 506, Centro",,cação
E.M.DESEMBARGADOR RONALD DE SOUZA,Rio de Janeiro,São Gonçalo,Escolas,"RUA FRANCISCO CAMPOS, S/Nº",,cação
E.M. DIOGO MARTINS,Rio de Janeiro,Mangaratiba,Escolas,"Estrada São João Marcos, s/nº - Nova Mangaratiba.",,cação
E.M. DOLORES ALCARAZ CALDAS,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Dr. Carlos Niederauer Hoffmeister, 85 Vila Restinga",,anjo
E.M.DOUTOR ARMANDO LEAO FERREIRA,Rio de Janeiro,São Gonçalo,Escolas,"RUA MARIO QUINTÃO, S/Nº",,cação
E.M.DOUTOR HERACLITO FONTOURA SOBRAL PINTO,Rio de Janeiro,São Gonçalo,Escolas,"RUA BELMIRO FERREIRA DA SILVA , S/N",,cação
E.M.DUQUE ESTRADA,Rio de Janeiro,São Gonçalo,Escolas,"RUA GUILHERME SANTOS ANDRADE,10",,cação
E.M.E. ELYSEU PAGLIOLI,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Butuí, 221",,anjo
E.M.E.F. BENTO GONÇALVES.,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.F. BOM JESUS,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Amazonas, 810",,anjo
E.M.E.F. DOMINGOS SARAIVA,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.F. DONA LEOPOLDINA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,Linha João Alves,,anjo
E.M.E.F. DR. GUILHERME A.O. HILDEBRAND,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Av. Euclides N. Kliemann, 5315",,anjo
E.M.E.F. DUQUE DE CAXIAS,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Espírito Santo, 121",,anjo
E.M.E.F. FREDERICO ASSMANN,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Lindolfo Grawunder, 335",,anjo
E.M.E.F. GUIDO HERBERTS,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Irmão Emílio, 425",,anjo
E.M.E.F. HARMONIA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Av. David Severo Mânica, 249",,anjo
E.M.E.F. JOSÉ LEOPOLDO RAUBER,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Cons. Theodoro Albrecht, 565",,anjo
E.M.E.F. JOSÉ MARQUES,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.F. JOSÉ MARQUES LOPES (EJA),Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.F. LEONEL DE MOURA BRIZOLA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Benno Diefenbach, 450 – Bairro Santo Antônio",,anjo
E.M.E.F. LUIZ SCHROEDER,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Dona Flora, 206",,anjo
E.M.E.F. MAJOR CACILDO KREBS,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.F. MENINO DEUS,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua 14, no 19",,anjo
E.M.E.F. NORMÉLIO EGÍDIO BOETTCHER,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Triunfo, 150",,anjo
E.M.E.F. PROF. JOSÉ FERRUGEM,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Professor José Ferrugem, 115",,anjo
E.M.E.F. SANTUÁRIO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Padre Landel de Moura, 400",,anjo
E.M.E.F. SÃO CANÍSIO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Víctor Frederico Baumhardt, 2398",,anjo
E.M.E.F. WILLY CARLOS FROEHLICH,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Av. Orlando O. Baumhardt, 3.811",,anjo
E.M.E.I. ALIANÇA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua João Gomes Cardoso, 260",Sim,anjo
E.M.E.I. BAIRRO CAVALHADA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Canela, 180 Cavalhada",Sim,anjo
E.M.E.I. BEIJA-FLOR,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Paulo Sthal, 65",Sim,anjo
E.M.E.I. CASTELO INFANTIL,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Gastão Baumhardt, 60",Sim,anjo
E.M.E.I. CRIANÇA FELIZ,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,,anjo
E.M.E.I. CRIANÇA FELIZ,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Visconde de Mauá, 17",Sim,anjo
E.M.E.I. DOM LUIZ DE NADAL,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Dr. Carlos N. Hoffmeister, 808",Sim,anjo
E.M.E.I. ESTRELINHA DO MAR,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,Sim,anjo
E.M.E.I. FLORÊNCIA V. SOCIAS,Rio Grande do Sul,Porto Alegre,Escolas,"Acesso 1, s/n Vila Nova Restinga",Sim,anjo
E.M.E.I. GENTE MIÚDA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Dona Miriam, 40",Sim,anjo
E.M.E.I. JARDIM CAMAQUÃ,Rio Grande do Sul,Porto Alegre,Escolas,"Rua João Pitta Pinheiro, esquina com a Av. Acesso 1",Sim,anjo
E.M.E.I. JARDIM SALOMONI,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Joaquim de Carvalho, 325 Cavalhada",Sim,anjo
E.M.E.I. LINHA SANTA CRUZ,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Avenida Orlando Oscar Baumhardt, 75",Sim,anjo
E.M.E.I. LULUZINHA,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,Sim,anjo
E.M.E.I. MARGARIDA/AURORA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Arlindo Kothe, 98",Sim,anjo
E.M.E.I. MUNDO MÁGICO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Barreto, 145",Sim,anjo
E.M.E.I. PARAÍSO INFANTIL,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Lisboa, 25",Sim,anjo
E.M.E.I. PAULO FREIRE,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Meridional, s/n Restinga",Sim,anjo
E.M.E.I. PEIXINHO DOURADO,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,Sim,anjo
E.M.E.I. PEQUENINOS DO FAXINAL,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Candelária, 410",Sim,anjo
E.M.E.I. PINGO DE GENTE,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Dr. Ortemberg, 336 – Bairro Santo Inácio",Sim,anjo
E.M.E.I. PINTANDO 7,Rio Grande do Sul,Palmares do Sul,Escolas,N/A,Sim,anjo
E.M.E.I. PONTA GROSSA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Retiro da Ponta Grossa, 3581",Sim,anjo
E.M.E.I. PROGRESSO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Av. Euclides Nicolau Kliemann, 5.395",Sim,anjo
E.M.E.I. RAIO DE SOL,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Lindolfo Grawunder, 281",Sim,anjo
E.M.E.I. SONHO DE CRIANÇA,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"R.: José Gomes de Freitas, 160",Sim,anjo
E.M.E.I. VILA MONTE CRISTO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua A, 250 Vila Monte Cristo",Sim,anjo
E.M.E.I. VILA NOVA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Fernando Pessoa, 350",Sim,anjo
E.M.E.I. VILA NOVA RESTINGA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Alvaro Delfim, 480",Sim,anjo
E.M.E.I. VOVÔ ALBINO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Profa Alice Simões Pires, 620",Sim,anjo
E.M.E.I. VOVÔ ARLINDO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Abrelino Pedroso, 351",Sim,anjo
E.M.E.I. VOVÔ ARNO,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Campinas, 352",Sim,anjo
E.M.E. PROF. LUIZ F. LUCENA BORGES,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Cláudio Manoel da Costa, 270 -Jardim Sabará",,anjo
E.M.E. PROFA LYGIA M. AVERBUCK,Rio Grande do Sul,Porto Alegre,Escolas,"Rua AG Projetada, s/n -Jardim do Salso",,anjo
E.M.E. TRISTÃO SUCUPIRA VIANA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Economista Nilo Wulff, s/n",,anjo
E.M. ED. ESP. EMANUELA RIBEIRO DE SOUZA – CER,Rio de Janeiro,Mangaratiba,Escolas,"Av. Frei Afonso, 871 - Praia do Saco",,cação
E.M. ED. INF. PROFª Mª DE LOURDES P. PEREIRA DA SILVA,Rio de Janeiro,Mangaratiba,Escolas,"Av. Cândido Jorge, s/nº Muriqui",,cação
E. M. EDUARDO LEITE PINTO,Rio de Janeiro,Valença,Escolas,"Rua Durval Passos de Mello, s/nº, São José das Palmeiras",,cação
E.M.ELPIDIO DOS SANTOS,Rio de Janeiro,São Gonçalo,Escolas,"AVENIDA OLINTO PEREIRA,S/Nº",,cação
E.M. EMÍLIO MEYER,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Niterói, 472 Medianeira",,anjo
E. M. ENGENHEIRO ALBERTO FURTADO,Rio de Janeiro,Valença,Escolas,"Engenheiro Alberto Furtado, Parapeúna",,cação
E.M. EVA MARIA CONCEIÇÃO OLIVEIRA,Rio de Janeiro,Armação dos Búzios,Escolas,Rua Nelson Altino Gonçalves,,cação
E. M. FERNANDO DE OLIVEIRA CASTRO,Rio de Janeiro,Valença,Escolas,"Rua Antonio Aleixo, 35, Varginha",,cação
E.M.FILADELFIA,Rio de Janeiro,São Gonçalo,Escolas,"RUA ITAPARICA, 70",,cação
E.M.FLORISBELA MARIA NUNES HAASE,Rio de Janeiro,São Gonçalo,Escolas,"RUA RIO NEGRO, S/Nº",,cação
E.M. GABRIEL OBINO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Eng. Ludolfo Boehl, 1402 Glória",,anjo
E. M. GENEROSO SALUSTIANO BARBOSA,Paraná,Fazenda Rio Grande,Escolas,R: Paulo Leminski,,cação
E. M. GERALDA FONSECA,Rio de Janeiro,Valença,Escolas,"Estrada Ipiabas – Conservatória, 5733, Desvio Gomes",,cação
E.M. GLAUBER DOS SANTOS BORGES,Rio de Janeiro,Mangaratiba,Escolas,"Pça. Waldimiro J. Nogueira, s/nº. – Conceição de Jacareí",,cação
E.M. GOV. ILDO MENEGHETTI,Rio Grande do Sul,Porto Alegre,Escolas,"Rua C, 250 - Vila Nova Santa Rosa - Rubem Berta",,anjo
E.M.GOVERNADOR ROBERTO DA SILVEIRA,Rio de Janeiro,São Gonçalo,Escolas,"AV. JOSÉ MENDONÇA DE CAMPOS, 298",,cação
E.M. GRANDE ORIENTE,Rio Grande do Sul,Porto Alegre,Escolas,"Rua A, 600 Conj. Res. Rubem Berta COHAB",,anjo
E. M. GUISELA KUSS REIKE,Paraná,Fazenda Rio Grande,Escolas,"Av. Portugal, 244",,cação
E.M. HEITOR VILLA LOBOS,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Santos Dias da Silva, s/n -Vila Mapa",,anjo
E. M. HENRIQUE DE OLIVEIRA CONCEIÇÃO,Rio de Janeiro,Valença,Escolas,"Rua 27 de Novembro, 1413, João Dias",,cação
E.M.I. DR. WALTER SILBER,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Frei Clemente, 150 Vila São José Partenon",Sim,anjo
E.M.I. ÉRICO VERÍSSIMO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Modesto Franco, 100 - Passo das Pedras",Sim,anjo
E.M.I. HUMAITÁ,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Caio Brandão de Mello, s/n -Humaitá",Sim,anjo
E.M.I. ILHA DA PINTADA,Rio Grande do Sul,Porto Alegre,Escolas,Esquina da Rua dos Garruchos (prolonga- mento da Rua Japeru) Ilha da Pintada,Sim,anjo
E.M.I. JARDIM BENTO GONÇALVES,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Sargento Exp. Geraldo Santana, 40 Partenon",Sim,anjo
E.M.I. MARIA MARQUES FERNANDES,Rio Grande do Sul,Porto Alegre,Escolas,"R. Santos Dias da Silva, 550 - Vila Mapa -L. do Pinheiro",Sim,anjo
E.M.I. NOVA GLEBA,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Guido Alberto Werlang, 747 -Rubem Berta",Sim,anjo
E.M.I. OSMAR DOS SANTOS FREITAS,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Dona Otilia, esquina rua 2 Loteamento Barração -Santa Tereza",Sim,anjo
E.M.I. PARQUE DOS MAIAS II,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Major Manoel José Monteiro, esq. Passagem de Pedestres, n° 03 -Parque dos Maias",Sim,anjo
E.M.I. PE. ANGELO COSTA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua 1° de março, 300 Vila São José Partenon",Sim,anjo
E.M.I. PROTÁSIO ALVES,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Aracy Fróes, s/n Conj. P. Alves Alto Petrópolis",Sim,anjo
E.M.I. TIO BARNABÉ,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Otto Ernest Meyer, 55 Cidade Baixa",Sim,anjo
E.M.I. UNIDOS DA PAINEIRA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Antônio Farias, 130 -Partenon",Sim,anjo
E.M.I. VALE VERDE,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Beco do Franklin, 270 Fundos - Alto Petropolis",Sim,anjo
E.M.I. VALNERI ANTUNES,Rio Grande do Sul,Porto Alegre,Escolas,"Estrada Martim Félix Berta, 2353 -Chácara da Fumaça",Sim,anjo
E.M.I. VILA DA PÁSCOA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua J, s/n Lotes 6, 7, 8, 9 e 10 Vila da Páscoa Sarandi",Sim,anjo
E.M.I. VILA ELIZABETH,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Paulo Gomes de Oliveira, 120 -Sarandi",Sim,anjo
E.M.I. VILA FLORESTA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Monte Alegre, 55 Cristo Redentor",Sim,anjo
E.M.I. VILA MAPA II,Rio Grande do Sul,Porto Alegre,Escolas,"R. Pedro Golombiewski, 08 - Vila Mapa L. do Pinheiro",Sim,anjo
E.M.I. VILA MAX GEISS,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Antônio Francisco Lisboa, 400 Sarandi",Sim,anjo
E.M.I. VILA NOVA SÃO CARLOS,Rio Grande do Sul,Porto Alegre,Escolas,"Est. João Oliveira Remião, 5000 P 11 -L. do Pinheiro",Sim,anjo
E.M.I. VILA SANTA ROSA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Donário Braga, 87 Vila Sta Rosa - Rubem Berta",Sim,anjo
E.M.I. VILA TRONCO,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Tronco, 186 Vila Cruzeiro Santa Tereza",Sim,anjo
E.M. ITAITINDIBA,Rio de Janeiro,São Gonçalo,Escolas,"RUA CAPITÃO ALBERTO SOARES, Nº 50",,cação
E.M. JEAN PIAGET,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Major Manoel José Monteiro, esq. passagem pedestre 03 Parque dos Maias",,anjo
E.M.JOAO AIRES SALDANHA,Rio de Janeiro,São Gonçalo,Escolas,"RUA BENEDITO LOPES DE OLIVEIRA, S/Nº",,cação
E.M. JOÃO ANTONIO SATTE,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Gamal Abdel Nasser, 500 - Parque dos Maias",,anjo
E. M. JOÃO BATISTA GOMES,Rio de Janeiro,Valença,Escolas,"Rua Cel. Leite Pinto, s/nº, Centro, Santa Isabel",,cação
E.M.JOAO CABRAL DE MELO NETO,Rio de Janeiro,São Gonçalo,Escolas,"ESTRADA ALMIRANTE PENA BOTO, S/Nº",,cação
E. M. JOÃO ESTEVES,Rio de Janeiro,Valença,Escolas,"Ladeira Balbina Esteves, 50, Centro, Pentagna",,cação
E.M. JOÃO JOSÉ DE CARVALHO,Rio de Janeiro,Armação dos Búzios,Escolas,"Rua Avineira, S/N",,cação
E. M. JOAQUIM K. MATSUMOTTO,Paraná,Fazenda Rio Grande,Escolas,"R: Jaraguariaiva, 11149",,cação
E.M.JOAQUIM LAVOURA,Rio de Janeiro,São Gonçalo,Escolas,"AV. LÚCIO TOMÉFEITEIRA, S/Nº",,cação
E. M. JOSÉ ALVES DA MOTTA,Rio de Janeiro,Valença,Escolas,"Estrada Valença – Conservatória, s/nº, Rancho Novo",,cação
E. M. JOSÉ LIMA,Rio de Janeiro,Valença,Escolas,"Fazenda de Coroas, Parapeúna",,cação
E.M. JOSÉ LOUREIRO DA SILVA,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Capivari, 1999 Cristal",,anjo
E.M. JOSE MANNA JUNIOR,Rio de Janeiro,São Gonçalo,Escolas,"RUA MANOEL SERRÃO, S/Nº",,cação
E.M. JOSÉ MARIANO BECK,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Joaquim Porto Villa Nova, 135 -Bom Jesus",,anjo
E. M. JOSÉ MENDES DE BARROS,Rio de Janeiro,Valença,Escolas,"Estrada do Amparo, Santa Isabel",,cação
E.M. JOSÉ PEREIRA NEVES JÚNIOR,Rio de Janeiro,Armação dos Búzios,Escolas,"Rua Itajuru, S/N",,cação
E.M.JOVITA MARIA DE JESUS,Rio de Janeiro,São Gonçalo,Escolas,"AV. PORTO DA MADAMA, S/Nº",,cação
E.M. JURANDIR DOS S. FERNANDES,Rio de Janeiro,Mangaratiba,Escolas,"Fazenda Santa Bárbara, s/nº - Sahy",,cação
E.M. LAURO RODRIGUES,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Marino Abrahão, 240 -Jardim Ingá",,anjo
