Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
49º BATALHÃO DE POLÍCIA MILITAR DO INTERIOR,São Paulo,Jundiaí,Militares,"R. Barão do Rio Branco, 318 - Vila Santa Rosa, Jundiaí - SP",,cação
4º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Francisco Eugênio, s/nº ",,cação
5º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Praça Cel. Assunção, s/nº",,cação
6º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Barão de mesquita, n.º 625",,cação
7º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,São Gonçalo,Militares,"Rua Alfredo Becker, n.º 367",,cação
8º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Campos de Goytacazes,Militares,"R. Ten Cel Cardoso,s/nº ",,cação
9º BATALHÃO DE POLÍCIA MILITAR,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Tacaratu, nº 94 ",,cação
ABDON BATISTA (DR.),Santa Catarina,Joinville,Escolas,"R.: Petrópolis, 1.618",,cação
ABDON DA SILVEIRA,Santa Catarina,Joinville,Escolas,"R.: Das Azaléias, s/nº",,cação
ABRIGO FEMININO,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua Carlos Trein Filho, 1286",,anjo
ABRIGO INSTITUCIONAL FEMININO “CASA LAR”,Espírito Santo,Vila Velha,Serviços sociais,Rua do Amor Perfeito s/nº Novo México – Vila Velha/ES,,cação
ABRIGO INSTITUCIONAL “LAR FELIZ”,Rio de Janeiro,Armação dos Búzios,Serviços sociais,"Avenida Geribá, nº 132, Geribá",,cação
ABRIGO MASCULINO,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua Carlos Trein Filho, 709",,anjo
ABRIGO RESIDENCIAL ADULTO,Rio Grande do Sul,Gravataí,Serviços sociais,Rua Coronel Fonseca – Bairro Centro – Tel: 3484-3782,,anjo
ABRIGO RESIDENCIAL ADULTO,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Quintino Bocaiúva, 183 – Parada 74 – em frente ao Big de Gravataí",,anjo
ABRIGO RESIDENCIAL CENTRO 1,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Major João Batista Lessa, 67 – Bairro Centro – Tel: 3423-3435",,anjo
ABRIGO RESIDENCIAL CENTRO 2,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Antônio Donga, 144 – Bairro Centro – Tel: 3490-3890",,anjo
ABRIGO RESIDENCIAL FLOR DE LARANJEIRA,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Salvador Canellas Sobrinho, 39 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL FLOR DE LIS,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Adolfo Inácio de Barcelos, 75 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL GIRASSOL,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Engenheiro José Marques Viana, 328 – Gravataí",,anjo
ABRIGO RESIDENCIAL MORADA DO VALE,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Ponta Porã, 175 – Bairro Jansen – Tel: 3496-3919",,anjo
ABRIGO RESIDENCIAL ORQUÍDEA,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Pompílio Gomes, 163 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL PARQUE DOS ANJOS,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Prefeito Ary Tubs, 885 – Bairro Centro – Tel: 3431-4623",,anjo
ABRIGO RESIDENCIAL SÃO GERALDO,Rio Grande do Sul,Gravataí,Serviços sociais,"Avenida Brasil, 202 – Bairro São Geraldo – Tel: 3421-1930",,anjo
ABRIGO RESIDENCIAL VIOLETA,Rio Grande do Sul,Gravataí,Serviços sociais,"Rua Adão Marcelino da Silva, 125 – Bairro Centro – Gravataí",,anjo
ABRIVIVÊNCIA - ABRIGO MUNICIPAL MARLENE E CASA DE CONVIVÊNCIA - ABORDAGEM SOCIAL DE RUA,Rio Grande do Sul,Porto Alegre,Serviços sociais,"Av. Getúlio Vargas, 40",,anjo
ACHILLES ALMEIDA BARRETO,Rio de Janeiro,Cabo Frio,Escolas,"Avenida Wilson Mendes, s/nº - Porto do Carro",,cação
ACOMPAR -NÚCLEO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Jacy Barcelos de Oliveira, 53",Sim,anjo
ACOMPAR -NÚCLEO -,Rio Grande do Sul,Porto Alegre,Escolas,"Av. Bernardino de Oliveira Paim, 82",Sim,anjo
ACOMUR,Rio Grande do Sul,Porto Alegre,Escolas,"R. Vidal de Negreiros,996 - Partenon",Sim,anjo
ADÃO BENEZARTH,Espírito Santo,Vitória,Escolas,"R. Prof. Clara Lima,63 - Conj. Antônio Honório (Goiabeiras) 29070-860",,cação
ADA SANT´ANNA DA SILVEIRA (PROFª),Santa Catarina,Joinville,Escolas,"R.: Monsenhor Gercino, 6.674",,cação
ADEVALNI S. FERREIRA DE AZEVEDO,Espírito Santo,Vitória,Escolas,"R. Victorino Cardoso, 140 - Jardim Camburi - 29090-820",,cação
ADHEMAR GARCIA,Santa Catarina,Joinville,Escolas,"R.: Alvino Hansen, 1.226",,cação
ADILSON DA SILVA CASTRO,Espírito Santo,Vitória,Escolas,"R. João Vieira, 50 - Ilha de Monte Belo 29053-220",,cação
ADOLFO ARTMANN,Santa Catarina,Joinville,Escolas,"R.: Caçapava, 95",,cação
ADOLPHO BARTSCH,Santa Catarina,Joinville,Escolas,"R.: Arno Krelling, s/nº",,cação
AÉCIO BISPO DOS SANTOS,Espírito Santo,Vitória,Escolas,"R. Maria da Paixão dos Santos, 530 Gurigica - 29046-060",,cação
AELCA,Rio Grande do Sul,Porto Alegre,Escolas,"R. Gen. salvador Pinheiro, 799 Vila Jardim",Sim,anjo
AGRISA,Rio de Janeiro,Cabo Frio,Escolas,"Estrado do Araçá, s/nº - Agrisa - 2º Distrito",,cação
AJUDÂNCIA GERAL,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Cardoso Junior, nº479",,cação
AJUDÂNCIA GERAL II,Rio de Janeiro,Rio de Janeiro,Militares,"Rua Evaristo da Veiga, nº 78 ",,cação
ALAN,Rio Grande do Sul,Porto Alegre,Escolas,"R. Panamá, 324 - Vila N. S. Fátima",Sim,anjo
ALBERGUE MUNICIPAL,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua São José, 2381",,anjo
